payment_id,amount,payment_method,error_code,retry_count,prev_successful_payments,prev_failed_payments,customer_success_rate,hour_of_day,day_of_week,is_business_hours,is_weekend,time_since_failure_hours,recovery_probability,recovered
pay_00697,6809.9,NET_BANKING,authentication_failed,1,18,1,0.947,12,3,1,0,24,0.68,0
pay_00668,22114.59,UPI,authentication_failed,0,11,2,0.846,1,3,0,0,82,0.7,1
pay_00064,1485.93,UPI,gateway_timeout,1,12,2,0.857,18,2,1,0,109,0.84,0
pay_00534,1464.08,CARD,card_expired,0,3,1,0.75,1,5,0,1,86,0.48,1
pay_00067,4573.3,CARD,gateway_timeout,1,20,0,1.0,8,0,0,0,33,0.93,1
pay_00622,7875.16,CARD,authentication_failed,1,0,7,0.0,2,0,0,0,107,0.45,1
pay_00347,1155.07,WALLET,authentication_failed,1,1,6,0.143,22,1,0,0,86,0.48,0
pay_00491,4875.74,CARD,authentication_failed,1,16,1,0.941,11,2,1,0,153,0.73,1
pay_00761,2763.8,UPI,issuer_declined_temp,0,3,2,0.6,7,5,0,1,64,0.77,1
pay_00457,4415.91,NET_BANKING,disputed,0,3,2,0.6,11,1,1,0,102,0.13,0
pay_00066,19077.03,WALLET,card_expired,2,18,1,0.947,23,4,0,0,26,0.4,0
pay_00287,4222.64,WALLET,gateway_timeout,0,4,6,0.4,3,4,0,0,46,0.88,1
pay_00636,939.31,UPI,issuer_declined_temp,1,2,6,0.25,11,1,1,0,130,0.63,1
pay_00068,13407.01,NET_BANKING,issuer_declined_temp,0,12,1,0.923,15,3,1,0,65,0.8,0
pay_00328,10847.2,UPI,gateway_timeout,1,14,1,0.933,8,3,0,0,10,0.98,1
pay_00396,3074.27,CARD,issuer_declined_temp,1,3,7,0.3,12,6,1,1,41,0.8,1
pay_00245,1479.86,UPI,authentication_failed,1,15,1,0.938,13,0,1,0,57,0.81,1
pay_00378,5903.74,UPI,card_expired,1,14,2,0.875,4,5,0,1,129,0.45,0
pay_00611,9455.63,CARD,insufficient_funds,2,20,1,0.952,14,2,1,0,44,0.56,0
pay_00527,965.32,NET_BANKING,card_expired,1,8,0,1.0,10,6,1,1,122,0.51,0
pay_00659,5991.43,NET_BANKING,card_expired,2,3,2,0.6,22,4,0,0,55,0.25,0
pay_00530,1989.59,CARD,issuer_declined_temp,0,5,3,0.625,18,4,1,0,79,0.78,1
pay_00623,32274.23,CARD,insufficient_funds,0,1,3,0.25,12,2,1,0,78,0.46,0
pay_00722,888.76,UPI,gateway_timeout,1,1,7,0.125,1,3,0,0,148,0.66,1
pay_00361,8261.38,WALLET,issuer_declined_temp,1,8,1,0.889,11,3,1,0,24,0.8,1
pay_00031,2692.68,WALLET,authentication_failed,1,16,1,0.941,1,0,0,0,164,0.7,0
pay_00261,1945.1,WALLET,insufficient_funds,1,7,0,1.0,6,6,0,1,137,0.66,1
pay_00638,5288.65,WALLET,authentication_failed,1,8,1,0.889,21,0,0,0,98,0.6,1
pay_00747,5924.0,UPI,insufficient_funds,1,19,0,1.0,4,2,0,0,63,0.68,1
pay_00571,5006.13,UPI,gateway_timeout,1,3,6,0.333,8,1,0,0,16,0.88,1
pay_00216,10498.31,UPI,authentication_failed,1,0,8,0.0,7,5,0,1,102,0.5,0
pay_00079,5387.09,CARD,issuer_declined_temp,1,4,1,0.8,21,6,0,1,14,0.77,1
pay_00579,1120.37,CARD,issuer_declined_temp,0,9,0,1.0,1,1,0,0,126,0.85,1
pay_00384,2905.16,NET_BANKING,card_expired,1,4,4,0.5,23,1,0,0,20,0.35,1
pay_00040,5984.1,WALLET,authentication_failed,1,6,2,0.75,9,4,1,0,84,0.63,1
